electrode,Value,epoch,stimuli,participant
Fz,-4.097104211,3,EH,p6_exp2
Fz,-12.8569735,4,EH,p6_exp2
Fz,-22.6822945,5,EH,p6_exp2
Fz,-1.991566691,6,EH,p6_exp2
Fz,-20.75893555,7,EH,p6_exp2
Fz,-14.82008589,8,EH,p6_exp2
Fz,-23.67822358,9,EH,p6_exp2
Fz,-18.77999807,10,EH,p6_exp2
Fz,-17.04996136,11,EH,p6_exp2
Fz,-14.39267481,12,EH,p6_exp2
Fz,-2.871689835,13,EH,p6_exp2
Fz,-32.09476377,14,EH,p6_exp2
Fz,-19.54155503,15,EH,p6_exp2
Fz,-15.2930171,16,EH,p6_exp2
Fz,-19.44673967,17,EH,p6_exp2
Fz,-5.737995472,18,EH,p6_exp2
